Training started at Fri Nov  7 23:59:01 2025
[1762546036] Epoch 2 | Batch 4200/4906 | Loss 0.0825
[1762546090] Epoch 2 | Batch 4300/4906 | Loss 0.0395
[1762546150] Epoch 2 | Batch 4400/4906 | Loss 0.0313
[1762546207] Epoch 2 | Batch 4500/4906 | Loss 0.0305
[1762546264] Epoch 2 | Batch 4600/4906 | Loss 0.0409
[1762546321] Epoch 2 | Batch 4700/4906 | Loss 0.0347
[1762546380] Epoch 2 | Batch 4800/4906 | Loss 0.0837
[1762546437] Epoch 2 | Batch 4900/4906 | Loss 0.0444
[1762547193] Epoch 2 complete | Train AUC: 0.8151 | Val AUC: 0.7826
[1762547194] Epoch 3 | Batch 0/4906 | Loss 0.0308
[1762547264] Epoch 3 | Batch 100/4906 | Loss 0.0908
[1762547332] Epoch 3 | Batch 200/4906 | Loss 0.0386
[1762547402] Epoch 3 | Batch 300/4906 | Loss 0.0632
[1762547472] Epoch 3 | Batch 400/4906 | Loss 0.0782
[1762547540] Epoch 3 | Batch 500/4906 | Loss 0.0770
[1762547609] Epoch 3 | Batch 600/4906 | Loss 0.0763
[1762547676] Epoch 3 | Batch 700/4906 | Loss 0.0323
[1762547745] Epoch 3 | Batch 800/4906 | Loss 0.0516
[1762547811] Epoch 3 | Batch 900/4906 | Loss 0.0783
[1762547877] Epoch 3 | Batch 1000/4906 | Loss 0.0262
[1762547942] Epoch 3 | Batch 1100/4906 | Loss 0.0671
[1762548008] Epoch 3 | Batch 1200/4906 | Loss 0.0524
[1762548070] Epoch 3 | Batch 1300/4906 | Loss 0.0980
[1762548133] Epoch 3 | Batch 1400/4906 | Loss 0.0971
[1762548194] Epoch 3 | Batch 1500/4906 | Loss 0.0564
[1762548258] Epoch 3 | Batch 1600/4906 | Loss 0.0820
[1762548316] Epoch 3 | Batch 1700/4906 | Loss 0.0432
[1762548369] Epoch 3 | Batch 1800/4906 | Loss 0.0480
[1762548421] Epoch 3 | Batch 1900/4906 | Loss 0.0520
[1762548474] Epoch 3 | Batch 2000/4906 | Loss 0.0584
[1762548527] Epoch 3 | Batch 2100/4906 | Loss 0.0560
[1762548580] Epoch 3 | Batch 2200/4906 | Loss 0.0859
[1762548633] Epoch 3 | Batch 2300/4906 | Loss 0.0691
[1762548687] Epoch 3 | Batch 2400/4906 | Loss 0.1214
[1762548740] Epoch 3 | Batch 2500/4906 | Loss 0.0493
[1762548793] Epoch 3 | Batch 2600/4906 | Loss 0.0168
[1762548847] Epoch 3 | Batch 2700/4906 | Loss 0.0602
[1762548901] Epoch 3 | Batch 2800/4906 | Loss 0.1092
[1762548954] Epoch 3 | Batch 2900/4906 | Loss 0.0392
[1762549007] Epoch 3 | Batch 3000/4906 | Loss 0.0524
[1762549060] Epoch 3 | Batch 3100/4906 | Loss 0.0798
[1762549113] Epoch 3 | Batch 3200/4906 | Loss 0.0332
[1762549167] Epoch 3 | Batch 3300/4906 | Loss 0.0865
[1762549219] Epoch 3 | Batch 3400/4906 | Loss 0.0629
[1762549272] Epoch 3 | Batch 3500/4906 | Loss 0.1145
[1762549325] Epoch 3 | Batch 3600/4906 | Loss 0.0147
[1762549378] Epoch 3 | Batch 3700/4906 | Loss 0.1007
[1762549432] Epoch 3 | Batch 3800/4906 | Loss 0.1014
[1762549486] Epoch 3 | Batch 3900/4906 | Loss 0.0419
[1762549539] Epoch 3 | Batch 4000/4906 | Loss 0.1096
[1762549593] Epoch 3 | Batch 4100/4906 | Loss 0.0977
[1762549644] Epoch 3 | Batch 4200/4906 | Loss 0.0291
[1762549698] Epoch 3 | Batch 4300/4906 | Loss 0.0321
[1762549751] Epoch 3 | Batch 4400/4906 | Loss 0.0468
[1762549804] Epoch 3 | Batch 4500/4906 | Loss 0.0884
[1762549860] Epoch 3 | Batch 4600/4906 | Loss 0.1008
[1762549914] Epoch 3 | Batch 4700/4906 | Loss 0.0613
[1762549969] Epoch 3 | Batch 4800/4906 | Loss 0.0830
[1762550023] Epoch 3 | Batch 4900/4906 | Loss 0.0528
[1762550751] Epoch 3 complete | Train AUC: 0.8379 | Val AUC: 0.7976
[1762550752] Epoch 4 | Batch 0/4906 | Loss 0.0365
[1762550821] Epoch 4 | Batch 100/4906 | Loss 0.0480
[1762550890] Epoch 4 | Batch 200/4906 | Loss 0.0500
[1762550959] Epoch 4 | Batch 300/4906 | Loss 0.0390
[1762551031] Epoch 4 | Batch 400/4906 | Loss 0.0964
[1762551097] Epoch 4 | Batch 500/4906 | Loss 0.0449
[1762551158] Epoch 4 | Batch 600/4906 | Loss 0.0697
[1762551218] Epoch 4 | Batch 700/4906 | Loss 0.0283
[1762551277] Epoch 4 | Batch 800/4906 | Loss 0.0834
[1762551336] Epoch 4 | Batch 900/4906 | Loss 0.0419
[1762551395] Epoch 4 | Batch 1000/4906 | Loss 0.0361
[1762551453] Epoch 4 | Batch 1100/4906 | Loss 0.0602
[1762551509] Epoch 4 | Batch 1200/4906 | Loss 0.0467
[1762551567] Epoch 4 | Batch 1300/4906 | Loss 0.0394
[1762551623] Epoch 4 | Batch 1400/4906 | Loss 0.1480
[1762551678] Epoch 4 | Batch 1500/4906 | Loss 0.0647
[1762551733] Epoch 4 | Batch 1600/4906 | Loss 0.0452
[1762551788] Epoch 4 | Batch 1700/4906 | Loss 0.1330
[1762551843] Epoch 4 | Batch 1800/4906 | Loss 0.0517
[1762551897] Epoch 4 | Batch 1900/4906 | Loss 0.0377
[1762551950] Epoch 4 | Batch 2000/4906 | Loss 0.0608
[1762552003] Epoch 4 | Batch 2100/4906 | Loss 0.0479
[1762552057] Epoch 4 | Batch 2200/4906 | Loss 0.0474
[1762552111] Epoch 4 | Batch 2300/4906 | Loss 0.1076
[1762552164] Epoch 4 | Batch 2400/4906 | Loss 0.0334
[1762552218] Epoch 4 | Batch 2500/4906 | Loss 0.0299
[1762552273] Epoch 4 | Batch 2600/4906 | Loss 0.0537
[1762552328] Epoch 4 | Batch 2700/4906 | Loss 0.0629
[1762552383] Epoch 4 | Batch 2800/4906 | Loss 0.1038
[1762552439] Epoch 4 | Batch 2900/4906 | Loss 0.1113
[1762552494] Epoch 4 | Batch 3000/4906 | Loss 0.0418
[1762552548] Epoch 4 | Batch 3100/4906 | Loss 0.0170
[1762552600] Epoch 4 | Batch 3200/4906 | Loss 0.0249
[1762552653] Epoch 4 | Batch 3300/4906 | Loss 0.0255
[1762552706] Epoch 4 | Batch 3400/4906 | Loss 0.0504
[1762552759] Epoch 4 | Batch 3500/4906 | Loss 0.0542
[1762552813] Epoch 4 | Batch 3600/4906 | Loss 0.0690
[1762552866] Epoch 4 | Batch 3700/4906 | Loss 0.0902
[1762552919] Epoch 4 | Batch 3800/4906 | Loss 0.0659
[1762552972] Epoch 4 | Batch 3900/4906 | Loss 0.0336
