Phase 6 ViT Training Started: Mon Nov 10 12:50:48 2025
Model: Vision Transformer Base/16
Target: Ensemble AUC 0.82-0.83

[1762765310] Epoch 2 | Batch 1200/7849 | Loss 0.1873
[1762765464] Epoch 2 | Batch 1300/7849 | Loss 0.0986
[1762765649] Epoch 2 | Batch 1400/7849 | Loss 0.0462
[1762765864] Epoch 2 | Batch 1500/7849 | Loss 0.0516
[1762766031] Epoch 2 | Batch 1600/7849 | Loss 0.2833
[1762766230] Epoch 2 | Batch 1700/7849 | Loss 0.0303
[1762766413] Epoch 2 | Batch 1800/7849 | Loss 0.0410
[1762766624] Epoch 2 | Batch 1900/7849 | Loss 0.0084
[1762766827] Epoch 2 | Batch 2000/7849 | Loss 0.0479
[1762766966] Epoch 2 | Batch 2100/7849 | Loss 0.0318
[1762767198] Epoch 2 | Batch 2200/7849 | Loss 0.0297
[1762767561] Epoch 2 | Batch 2300/7849 | Loss 0.0504
[1762767625] Epoch 2 | Batch 2400/7849 | Loss 0.1039
[1762767689] Epoch 2 | Batch 2500/7849 | Loss 0.0432
[1762767753] Epoch 2 | Batch 2600/7849 | Loss 0.1688
[1762767817] Epoch 2 | Batch 2700/7849 | Loss 0.0436
[1762767882] Epoch 2 | Batch 2800/7849 | Loss 0.1592
[1762767947] Epoch 2 | Batch 2900/7849 | Loss 0.1219
[1762768011] Epoch 2 | Batch 3000/7849 | Loss 0.0140
[1762768075] Epoch 2 | Batch 3100/7849 | Loss 0.0307
[1762768140] Epoch 2 | Batch 3200/7849 | Loss 0.0498
[1762768203] Epoch 2 | Batch 3300/7849 | Loss 0.0999
[1762768267] Epoch 2 | Batch 3400/7849 | Loss 0.0292
[1762768332] Epoch 2 | Batch 3500/7849 | Loss 0.0751
[1762768394] Epoch 2 | Batch 3600/7849 | Loss 0.1160
[1762768456] Epoch 2 | Batch 3700/7849 | Loss 0.0536
[1762768520] Epoch 2 | Batch 3800/7849 | Loss 0.1301
[1762768583] Epoch 2 | Batch 3900/7849 | Loss 0.0275
[1762768648] Epoch 2 | Batch 4000/7849 | Loss 0.0202
[1762768711] Epoch 2 | Batch 4100/7849 | Loss 0.0846
[1762768775] Epoch 2 | Batch 4200/7849 | Loss 0.0178
[1762768837] Epoch 2 | Batch 4300/7849 | Loss 0.0595
[1762768900] Epoch 2 | Batch 4400/7849 | Loss 0.0369
[1762768965] Epoch 2 | Batch 4500/7849 | Loss 0.1547
[1762769029] Epoch 2 | Batch 4600/7849 | Loss 0.0753
[1762769093] Epoch 2 | Batch 4700/7849 | Loss 0.0779
[1762769157] Epoch 2 | Batch 4800/7849 | Loss 0.0310
[1762769220] Epoch 2 | Batch 4900/7849 | Loss 0.0628
[1762769283] Epoch 2 | Batch 5000/7849 | Loss 0.1107
[1762769347] Epoch 2 | Batch 5100/7849 | Loss 0.0823
[1762769411] Epoch 2 | Batch 5200/7849 | Loss 0.1039
[1762769475] Epoch 2 | Batch 5300/7849 | Loss 0.0216
[1762769538] Epoch 2 | Batch 5400/7849 | Loss 0.0168
[1762769603] Epoch 2 | Batch 5500/7849 | Loss 0.0200
[1762769666] Epoch 2 | Batch 5600/7849 | Loss 0.0230
[1762769730] Epoch 2 | Batch 5700/7849 | Loss 0.0280
[1762769786] Epoch 2 | Batch 5800/7849 | Loss 0.0213
[1762769845] Epoch 2 | Batch 5900/7849 | Loss 0.0328
[1762769903] Epoch 2 | Batch 6000/7849 | Loss 0.0437
[1762769962] Epoch 2 | Batch 6100/7849 | Loss 0.0507
[1762770020] Epoch 2 | Batch 6200/7849 | Loss 0.0429
[1762770078] Epoch 2 | Batch 6300/7849 | Loss 0.0533
[1762770138] Epoch 2 | Batch 6400/7849 | Loss 0.1601
[1762770196] Epoch 2 | Batch 6500/7849 | Loss 0.0312
[1762770253] Epoch 2 | Batch 6600/7849 | Loss 0.0506
[1762770310] Epoch 2 | Batch 6700/7849 | Loss 0.0263
[1762770365] Epoch 2 | Batch 6800/7849 | Loss 0.0694
[1762770419] Epoch 2 | Batch 6900/7849 | Loss 0.0314
[1762770478] Epoch 2 | Batch 7000/7849 | Loss 0.0410
[1762770534] Epoch 2 | Batch 7100/7849 | Loss 0.0283
[1762770593] Epoch 2 | Batch 7200/7849 | Loss 0.0032
[1762770652] Epoch 2 | Batch 7300/7849 | Loss 0.0773
[1762770712] Epoch 2 | Batch 7400/7849 | Loss 0.0110
[1762770769] Epoch 2 | Batch 7500/7849 | Loss 0.0132
[1762770827] Epoch 2 | Batch 7600/7849 | Loss 0.0657
[1762770887] Epoch 2 | Batch 7700/7849 | Loss 0.0438
[1762770945] Epoch 2 | Batch 7800/7849 | Loss 0.0585
[1762772155] Epoch 2 | Train AUC: 0.8510 | Val AUC: 0.7863 | Best: 0.7863
[1762772156] Epoch 3 | Batch 0/7849 | Loss 0.0808
[1762772233] Epoch 3 | Batch 100/7849 | Loss 0.0165
[1762772310] Epoch 3 | Batch 200/7849 | Loss 0.0127
[1762772392] Epoch 3 | Batch 300/7849 | Loss 0.0720
[1762772471] Epoch 3 | Batch 400/7849 | Loss 0.0514
