Phase 7 Ultimate Training Started: Fri Nov 14 22:57:21 2025
Architecture: DINOv2 + Anatomical + Multi-Modal
Target: 0.84-0.86 AUC

[1763147635] Epoch 2 | Batch 1200/7849 | Loss 0.0617
[1763147692] Epoch 2 | Batch 1300/7849 | Loss 0.5255
[1763147747] Epoch 2 | Batch 1400/7849 | Loss 0.8057
[1763147805] Epoch 2 | Batch 1500/7849 | Loss 0.1303
[1763147861] Epoch 2 | Batch 1600/7849 | Loss 0.0999
[1763147917] Epoch 2 | Batch 1700/7849 | Loss 0.1884
[1763147974] Epoch 2 | Batch 1800/7849 | Loss 0.0969
[1763148028] Epoch 2 | Batch 1900/7849 | Loss 0.1111
[1763148083] Epoch 2 | Batch 2000/7849 | Loss 0.0772
[1763148137] Epoch 2 | Batch 2100/7849 | Loss 0.2137
[1763148193] Epoch 2 | Batch 2200/7849 | Loss 0.1147
[1763148247] Epoch 2 | Batch 2300/7849 | Loss 0.1275
[1763148302] Epoch 2 | Batch 2400/7849 | Loss 0.0730
[1763148355] Epoch 2 | Batch 2500/7849 | Loss 0.1140
[1763148409] Epoch 2 | Batch 2600/7849 | Loss 0.1503
[1763148463] Epoch 2 | Batch 2700/7849 | Loss 0.0917
[1763148515] Epoch 2 | Batch 2800/7849 | Loss 0.2903
[1763148569] Epoch 2 | Batch 2900/7849 | Loss 0.0634
[1763148621] Epoch 2 | Batch 3000/7849 | Loss 0.6532
[1763148675] Epoch 2 | Batch 3100/7849 | Loss 0.1227
[1763148727] Epoch 2 | Batch 3200/7849 | Loss 0.0815
[1763148779] Epoch 2 | Batch 3300/7849 | Loss 0.1258
[1763148832] Epoch 2 | Batch 3400/7849 | Loss 0.0813
[1763148884] Epoch 2 | Batch 3500/7849 | Loss 0.1240
[1763148939] Epoch 2 | Batch 3600/7849 | Loss 0.2717
[1763148991] Epoch 2 | Batch 3700/7849 | Loss 0.1094
[1763149042] Epoch 2 | Batch 3800/7849 | Loss 0.0943
[1763149095] Epoch 2 | Batch 3900/7849 | Loss 0.1621
[1763149148] Epoch 2 | Batch 4000/7849 | Loss 0.4780
[1763149200] Epoch 2 | Batch 4100/7849 | Loss 0.1023
[1763149251] Epoch 2 | Batch 4200/7849 | Loss 0.1218
[1763149304] Epoch 2 | Batch 4300/7849 | Loss 0.1184
[1763149357] Epoch 2 | Batch 4400/7849 | Loss 0.3693
[1763149411] Epoch 2 | Batch 4500/7849 | Loss 0.3721
[1763149465] Epoch 2 | Batch 4600/7849 | Loss 0.0866
[1763149520] Epoch 2 | Batch 4700/7849 | Loss 0.0830
[1763149573] Epoch 2 | Batch 4800/7849 | Loss 0.0679
[1763149625] Epoch 2 | Batch 4900/7849 | Loss 0.1309
[1763149678] Epoch 2 | Batch 5000/7849 | Loss 0.0466
[1763149731] Epoch 2 | Batch 5100/7849 | Loss 0.1723
[1763149784] Epoch 2 | Batch 5200/7849 | Loss 0.1209
[1763149838] Epoch 2 | Batch 5300/7849 | Loss 0.1748
[1763149893] Epoch 2 | Batch 5400/7849 | Loss 0.1376
[1763149947] Epoch 2 | Batch 5500/7849 | Loss 0.1152
[1763150002] Epoch 2 | Batch 5600/7849 | Loss 0.0597
[1763150056] Epoch 2 | Batch 5700/7849 | Loss 0.7442
[1763150107] Epoch 2 | Batch 5800/7849 | Loss 0.0613
[1763150161] Epoch 2 | Batch 5900/7849 | Loss 0.2733
[1763150214] Epoch 2 | Batch 6000/7849 | Loss 0.1202
[1763150268] Epoch 2 | Batch 6100/7849 | Loss 0.1174
[1763150320] Epoch 2 | Batch 6200/7849 | Loss 0.1929
[1763150371] Epoch 2 | Batch 6300/7849 | Loss 0.0917
[1763150424] Epoch 2 | Batch 6400/7849 | Loss 0.0478
